key,CHANGE_DATE,de,en,ru,tr,ar,fr,fa,nl,pl,it,es,sp - nicht berücksichtigen,pt,uk,ka (georgisch)
PROFILE.MEASURE_FEVER_RISE.OPTION.4.LABEL,,weiß nicht,Don't know,Не знаю,Bilmiyorum,لا أعلم,Je ne sais pas,نمی دانم,weet niet,nie wiem,non so,No lo sé.,no sé,não sei,Не знаю,არ ვიცი
PROFILE.ANTIPYRETICS.QUESTION,,Hat {{name}} in den letzten 12 Monaten fiebersenkende Medikamente (Paracetamol oder Ibuprofen) eingenommen?,Has {{name}} taken antipyretics (paracetamol or ibuprofen) during the last 12 months?,Принимал ли {{name}} жаропонижающие препараты (парацетамол или ибупрофен) в течение последних 12 месяцев?,{{name}} son 12 ay içinde ateş düşürücü (parasetamol veya ibuprofen) kullandı mı?,و{{name}} اتخذت في الأشهر ال 12 الماضية الأدوية خافض للحرارة (الباراسيتامول أو الإيبوبروفين)؟, {{name}} a-t-il/elle pris des médicaments antipyrétiques (paracétamol ou ibuprofène) au cours des 12 derniers mois?,آیا در طول ۱۲ ماه گذشته {{name}} داروهای تب بر (پاراستامول یا ایبوپروفن) مصرف کرده است؟,Heeft {{name}} in de afgelopen 12 maanden koortswerende medicijnen (paracetamol of ibuprofen) gebruikt?,Czy w ciągu ostatnich 12 miesięcy dziecko {{name}} brało leki obniżające gorączkę (paracetamol lub ibuprofen)?,Il {{name}} ha assunto farmaci per la riduzione della febbre (paracetamolo o ibuprofene) negli ultimi 12 mesi?,¿Ha tomado {{name}} antipiréticos (paracetamol o ibuprofeno) durante los últimos 12 meses?,¿Ha tomado {{name}} antipiréticos (paracetamol o ibuprofeno) durante los últimos 12 meses?,{{name}} tomou antipiréticos (paracetamol ou ibuprofeno) durante os últimos 12 meses?,Чи приймав {{name}} жарознижувальні препарати (парацетамол або ібупрофен) протягом останніх 12 місяців?,აქვს თუ არა {{name}}-ს მიღებული სიცხის დამწევი საშუალებები (პარაცეტამოლი ან იბუპროფენი) ბოლო 12 თვის განმავლობაში?
PROFILE.ANTIPYRETICS.OPTION.1.LABEL,,Ja,Yes,Да,Evet,نعم,Oui,بله,Ja,Tak,sì,Sí,Sí,Sim,Так,დიახ
PROFILE.ANTIPYRETICS.OPTION.2.LABEL,,Nein,No,Нет,Hayır,لا,Non,خیر,Nee,Nie,no,No,No,Não,Ні,არა
PROFILE.ANTIPYRETICS.OPTION.3.LABEL,,Weiß nicht,Don't know,Не знаю,Bilmiyorum,لا أعلم,Je ne sais pas,نمی دانم,Weet ik niet,Nie wiem,non lo so,No sé,no sé,não sei,Не знаю,არ ვიცი
PROFILE.COLOR.QUESTION,,"Um schnell zu erkennen, welches Familienmitglied derzeit ausgewählt ist, bestimmen Sie eine Farbe für {{name}}!","To quickly see which family member is currently selected, please choose a color for {{name}}!","Чтобы быстро распознать, какой член семьи выбран в данный момент, выберите цвет для {{name}}!",Şu anda hangi aile üyesinin seçildiğini hızlı bir şekilde anlayabilmek için {{name}} için bir renk seçin!,لمعرفة أي فرد من أفراد العائلة محدد حاليا، اختر لونا ل {{name}}!,"Pour permettre une reconnaissance rapide du membre de votre famille actuellement sélectionné, désignez une couleur pour {{name}}!",برای تشخیص سریع تر اینکه کدام یک از اعضای خانواده در حال حاضر انتخاب شده است، رنگی برای {{name}} انتخاب کنید!,"Om snel te zien welk familielid momenteel geselecteerd is, kies een kleur voor {{name}}!","Aby szybko można było rozpoznać, który członek rodziny jest aktualnie wybrany, wyznacz kolor dla dziecka {{name}}!",Per distinguere i diversi membri famigliari che usano l'app si prega di scegliere un colore per {{name}} !,"Para ver rápidamente qué miembro de la familia está seleccionado actualmente, ¡elija un color para {{name}}!","Para ver rápidamente qué miembro de la familia está seleccionado actualmente, ¡elija un color para {{name}}!","Para ver rapidamente qual membro da família está selecionado no momento, escolha uma cor para {{name}}!","Щоб швидко розпізнати, який член сім'ї обраний на даний момент, виберіть колір {{name}}!","სწრაფად რომ ნახოთ, რომელი ოჯახის წევრია ამჟამად არჩეული, გთხოვთ, აირჩიოთ ფერი {{name}} -ისთვის!"
EVALUATION.RATING_APP.QUESTION,,Wie finden Sie die FeverApp bisher allgemein?,How do you like the FeverApp in general so far?,Как Вы оцениваете FeverApp в целом на данный момент?,Şimdiye kadar genel olarak FeverApp'ı nasıl buldunuz?,كيف يمكنك العثور على FeverApp بشكل عام؟,Comment trouvez-vous la FeverApp en général jusqu'à présent?,چگونه به طور کلی FeverApp را در حال حاضر ارزیابی می کنید؟,Wat vind je tot nu toe van de FeverApp in het algemeen?,Co sądzisz o aplikacji FeverApp w ogóle do tej pory?,Cosa pensa della FeverApp in generale?,¿Que le há parecido la FeverApp en general hasta ahora?,¿Que te há parecido la FeverApp en general hasta ahora?,O que você acha do FeverApp em geral até agora?,Як Ви оцінюєте FeverApp загалом на даний момент?,როგორ მოგწონთ FeverApp ზოგადად ჯერჯერობით?
EVALUATION.RATING_APP.ANCHOR.LEFT,,sehr<br>schlecht,very<br>bad,очень<br>плохо.,çok<br>kötü,جدا<br>باد,très<br>mal,خیلی<br>بد,zeer<br>slecht,bardzo<br>zły,molto<br>male,muy<br>malo,muy<br>malo,muito mal,дуже<br>погано.,ძალიან<br>ცუდია
EVALUATION.RATING_APP.ANCHOR.RIGHT,,sehr<br>gut,very<br>good,очень<br>хорошо.,çok<br>iyi,جيد<br>جدا ,très<br>bien,خیلی<br>خوب,zeer<br>goed,bardzo<br>dobry,molto<br>bene,muy<br>bueno,muy<br>bueno,muito bom,дуже<br>добре.,ძალიან<br>კარგია
EVALUATION.RATING_DESIGN.QUESTION,,Wie finden Sie das Design der FeverApp?,How do you like the design of the FeverApp?,Как Вам нравится дизайн FeverApp?,FeverApp'ın tasarımını beğendiniz mi?,كيف يمكنك العثور على تصميم FeverApp؟,Comment trouvez vous le design de la FeverApp?,چگونه طراحی FeverApp را ارزیابی می کنید؟,Wat vind je van het ontwerp van de FeverApp?,Co sądzisz o wyglądzie graficznym FeverApp?,Cosa pensa del design della FeverApp?,¿Qué le parece el diseño de la FeverApp?,¿Qué te parece el diseño de la FeverApp?,O que você acha do design do FeverApp?,Як Вам подобається дизайн FeverApp?,როგორ მოგწონთ FeverApp-ის დიზაინი?
EVALUATION.RATING_DESIGN.ANCHOR.LEFT,,sehr<br>schlecht,very<br>bad,очень<br>плохо.,çok<br>kötü,جدا<br>باد,très<br>mal,خیلی<br>بد,zeer<br>slecht,bardzo<br>zły,molto<br>male,muy<br>malo,muy<br>malo,muito mal,дуже<br>погано.,ძალიან<br>ცუდია
EVALUATION.RATING_DESIGN.ANCHOR.RIGHT,,sehr<br>gut,very<br>good,очень<br>хорошо.,çok<br>iyi,جيد<br>جدا ,très<br>bien,خیلی<br>خوب,zeer<br>goed,bardzo<br>dobry,molto<br>bene,muy<br>bueno,muy<br>bueno,muito bom,дуже<br>добре.,ძალიან<br>კარგია
EVALUATION.RATING_USABILITY.QUESTION,,Wie finden Sie die Bedienbarkeit der FeverApp?,How do you like the usability of the FeverApp?,Как Вам нравится удобство использования FeverApp?,FeverApp'ın kullanılabilirliğini nasıl buldunuz?,كيف يمكنك العثور على قابلية الاستخدام من FeverApp؟,Comment trouvez-vous la facilité d'utilisation de la FeverApp ?,چگونه قابلیت استفاده از FeverApp را ارزیابی می کنید؟,Wat vindt u van de gebruiksvriendelijkheid van de FeverApp?,Jak oceniasz użyteczność FeverApp?,Cosa pensa dell'accessibilità della FeverApp?,¿Qué le parece la usabilidad de FeverApp?,¿Qué te parece la usabilidad de FeverApp?,O que você acha da usabilidade do FeverApp?,Як Вам подобається зручність використання FeverApp?,როგორ მოგწონთ FeverApp-ის გამოყენებადობა?
EVALUATION.RATING_USABILITY.ANCHOR.LEFT,,sehr<br>schlecht,very<br>bad,очень<br>плохо.,çok<br>kötü,جدا<br>باد,très<br>mal,خیلی<br>بد,zeer<br>slecht,bardzo<br>zła,molto<br>male,muy<br>malo,muy<br>malo,muito mal,дуже<br>погано.,ძალიან<br>ცუდია
EVALUATION.RATING_USABILITY.ANCHOR.RIGHT,,sehr<br>gut,very<br>good,очень<br>хорошо.,çok<br>iyi,جيد<br>جدا ,très<br>bien,خیلی<br>خوب,zeer<br>goed,bardzo<br>dobra,molto<br>bene,muy<br>bueno,muy<br>bueno,muito bom,дуже<br>добре.,ძალიან<br>კარგია
EVALUATION.CONFIDENCE.QUESTION,,"Haben Sie den Eindruck, dass die App Ihre Sicherheit im Umgang mit dem kindlichen Fieber erhöht hat?",Do you have the impression that the app has increased your confidence in dealing with childhood fever?,"Создалось ли у Вас впечатление, что приложение повысило Вашу безопасность в обращении с детской лихорадкой?",Uygulamanın çocuğunuzun ateşi ile mücadelede güvenliğinizi arttırdığı izlenimine sahip misiniz?,هل لديك انطباع بأن التطبيق قد زاد من أمانك في التعامل مع حمى الطفل؟,Pensez-vous que l'application renforce votre confiance dans la gestion de la fièvre infantile ?,آیا این تصور را داشتید که این برنامه باعث افزایش امنیت شما در رابطه با مقابله با تب کودک است؟,Heeft u het gevoel dat de app uw vertrouwen in het omgaan met kinderkoorts heeft vergroot?,"Czy uważasz, że aplikacja zwiększyła Twoją pewność siebie w radzeniu sobie z gorączką u dzieci?",Ha l'impressione che la FeverApp abbia contribuito qualcosa sulla Sua sicurezza riguardando la febbre?,¿Tiene la impresión de que la aplicación ha aumentado su confianza para lidiar con la fiebre infantil?,¿Tiene la impresión de que la aplicación ha aumentado su confianza para lidiar con la fiebre infantil?,Você acha que o aplicativo aumentou sua confiança para lidar com a febre do bebê?,"Чи склалося враження, що програма підвищила Вашу безпеку у поводженні з дитячою гарячкою?","გაქვთ შთაბეჭდილება, რომ აპმა გაზარდა თქვენი თავდაჯერებულობა  ცხელებასთან გამკლავებაში?"
EVALUATION.CONFIDENCE.ANCHOR.LEFT,,"nein,<br>gar nicht","no,<br>not at all","Нет,<br>вовсе нет.","hayır, <br> hiç değil",لا، <br>غار لا,"non, <br>pas du tout",نه،<br>اصلا,"Nee, helemaal niet","nie,<br>wcale nie","no, <br> per niente","no,<br>en absoluto","no,<br>en absoluto","não, de jeito nenhum","Ні,<br>зовсім ні.","არა,<br>სულაც არა"
EVALUATION.CONFIDENCE.ANCHOR.RIGHT,,"ja,<br>sehr","yes,<br>very much","Да,<br>очень сильно.","evet, <br> çok",نعم، <br> جدا,"oui,<br>beaucoup",بله،<br>کاملا,"Ja,<br>zeer","tak,<br>bardzo","sì, <br> molto","si,<br>mucho","si,<br>mucho",Sim muito,"Так,<br>дуже сильно","დიახ, <br>ძალიან"
EVALUATION.POSITIVE.QUESTION,,Was hat Ihnen an der FeverApp gefallen?,What did you like about the FeverApp?,Что Вам понравилось в FeverApp?,FeverApp ile ilgili neyi beğendiniz?,ما الذي أعجبك في FeverApp؟,Qu'est-ce qui vous a plu dans la FeverApp ?,چه چیزی را در رابطه با FeverApp دوست داشتید؟,Wat vond je goed aan de FeverApp?,Co Ci się podobało w FeverApp?,Cosa Le è piaciuto alla FeverApp?,¿Qué le gustó de FeverApp?,¿Qué te gustó de FeverApp?,O que você gostou no FeverApp?,Що Вам сподобалося у FeverApp?,რა მოგეწონათ FeverApp-ში?
EVALUATION.IMPROVE.QUESTION,,Was könnte aus Ihrer Sicht an der FeverApp (noch) besser sein?,"From your point of view, what could be (even) better about the FeverApp?","С Вашей точки зрения, что могло бы быть лучше в FeverApp?","Sizin bakış açınızdan, FeverApp'ta daha iyi ne olabilir?",ماذا يمكن أن يكون (لا يزال) أفضل حول FeverApp؟,"De votre point de vue, qu'est-ce qui pourrait être amélioré dans la FeverApp ?",از نظر شما چه چیزی می تواند در FeverApp بهتر باشد؟,Wat kan er (nog) beter aan de FeverApp vanuit jouw oogpunt?,Co mogłoby być (jeszcze) lepsze w FeverApp z Twojego punktu widzenia?,Cosa potrebbe essere (ancora) migliore alla FeverApp?,"Desde su punto de vista, ¿qué podría ser (incluso) mejor de FeverApp?","Desde tu punto de vista, ¿qué podría ser (incluso) mejor de FeverApp?","Do seu ponto de vista, o que poderia ser (ainda) melhor no FeverApp?","На ваш погляд, що могло б бути краще в FeverApp?","თქვენი აზრით, რა შეიძლება იყოს (კიდევ) უკეთესი FeverApp-ზე?"
DIARY.GROUP.WELLBEING.TITLE,,Befinden und Temperatur,State of health and temperature,Состояние и температура,Sağlık durumu ve ateş,الحالة ودرجة الحرارة,État de santé et température,وضعیت سلامتی و دما,Toestand en temperatuur,Stan zdrowia i temperatura,benessere e temperatura,Estado de salud y temperatura,Estado de salud y temperatura,Estado de saúde e temperatura,Стан та температура,ჯანმრთელობის მდგომარეობა და ტემპერატურა
DIARY.GROUP.PAIN.TITLE,,Schmerzen,Pain,Боли,Ağrı,وجع,Douleurs,درد,Pijn,Ból,dolori,Dolor,Dolor,Dor,Болі,ტკივილი
DIARY.GROUP.WARNING_SIGNS.TITLE,,Warnzeichen,Warning sign,Предупреждающие знаки,Uyarı işareti,علامة تحذير,Signes d'alarmes,علامت هشدار دهنده,Alarmsymptomen,Znaki ostrzegawcze,segni d'allarme,Señal de alarma,Señal de advertencia,Sinal de aviso,Попереджувальні ознаки,გამაფრთხილებელი ნიშანი
DIARY.GROUP.DOCTOR.TITLE,,Arztkontakt,Doctor contact,Консультация с врачом,Doktor iletişimi,الطبيب الاتصال,Consultation médicale,تماس با دکتر,Neem contact op met een dokter,Kontakt z lekarzen,contatto con un medico,Contacto médico,Contacto médico,Contato médico,Консультація з лікарем,ექიმთან კონტაქტი
DIARY.GROUP.MEDICATION.TITLE,,Medikamente,Medicine,Медикаменты,İlaç,دواء,Médicament,دارو,Geneesmiddelen,Leki,farmaci,Medicamento,Medicamento,Medicamento,Медикаменти,მედიკამენტი
DIARY.GROUP.MEASURE.TITLE,,Maßnahmen,Measures,Меры,Tedbirler,تدابير,Mesures,معیارها,Maatregelen,Środki,misure,Medidas,Medidas,Medidas,Заходи,ზომები
DIARY.GROUP.NOTE.TITLE,,Notiz,Note,Заметки,Not,ملاحظه,Note,یادداشت,Opmerking,Notatki,note,Nota,Nota,Observação,Нотатки,შენიშვნა
DIARY.WELLBEING.TITLE,,Befinden,State of health,Состояние,Sağlık durumu,شرط,État de santé,وضعیت سلامتی ,Gezondheid,Stan ogólny,benessere,Estado de salud,Estado de salud,Estado de saúde,Стан,ჯანმრთელობის მდგომარეობა
DIARY.WELLBEING.WELLBEING_CHILD.QUESTION,,Wie fühlt sich {{name}}?,How does {{name}} feel?,Как чувствует себя {{name}}?,{{name}} nasıl hissediyor?,كيف تشعر{{name}}؟,Comment se sent {{name}} ?, {{name}} چه حسی دارد؟,Hoe voelt {{name}} zich?,Jak się czuje {{name}}?,Come si sente {{name}} ?,¿Cómo se siente {{name}}?,¿Cómo se siente {{name}}?,Como {{name}} se sente?,Як почувається {{name}}?,როგორ გრძნობს თავს {{name}} ?
DIARY.WELLBEING.WELLBEING_CHILD.DISPLAY,,{{name}} {{value}},{{name}} {{value}},{{name}} {{value}},{{name}} {{value}},{{name}} {{value}},{{name}} {{value}},{{name}} {{value}},{{name}} {{value}},{{name}} {{value}},{{name}} {{value}} ,{{name}} {{value}},{{name}} {{value}},{{name}} {{value}},{{name}} {{value}},{{name}} {{value}}
DIARY.WELLBEING.WELLBEING_CHILD.INFO,,<p>Die FeverApp möchte Ihnen und Ihrem Kind möglichst entspannte und stressfreie Krankheitstage ermöglichen. Stress kann Genesungsprozesse beeinträchtigen. Hingegen können schon wenige Minuten Ihrer liebevollen Aufmerksamkeit mehrmals täglich Wunder bewirken.</p><p>Durch die regelmäßige (am besten über 3 Mal pro Tag) Dokumentation der folgenden Fragen schulen Sie Ihre Beobachtungsgabe und gewinnen Sicherheit im Umgang mit Fieber.</p><p>Sie können sich von der FeverApp durch die wichtigsten Fragen bei Fieber leiten lassen.</p>,"<p>FeverApp would like to offer you and your child the most relaxed and stress-free sick days possible. Stress can impair recovery. On the other hand, just a few minutes of your loving attention, several times a day, can work wonders.</p><p>By regularly documenting the following questions (preferably more than 3 times a day), you can train your powers of observation and gain confidence in dealing with fever.</p><p> You can let FeverApp guide you through the most important questions about fever.</p>","<p>FeverApp хотел бы помочь сделать дни болезни для Вас и Вашего ребенка как можно более спокойными и свободными от стресса. Стресс может замедлять процессы выздоровления. Однако, уже несколько минут Вашего любящего внимания в течение дня могут творить чудеса. </p><p> Через регулярную (лучше всего около 3-х раз в день) документацию ответов на следующие вопросы, Вы обучаете свою наблюдательность и обретаете большую уверенность в обращении с лихорадкой.</p><p>Вы можете руководствоваться FeverApp в наиболее важных вопросах, связанных с лихорадкой.</p>","<p> FeverApp, sizin ve çocuğunuzun hastalık günlerini olabildiğince sakin ve stressiz geçirmenize yardımcı olmak ister. Stres iyileşme sürecini yavaşlatabilir. Buna nazaran gün içinde sevgi dolu ilginizin sadece birkaç dakikası harikalar yaratabilir. </p> <p> Aşağıdaki soruların yanıtlarını düzenli olarak (ideal olarak günde yaklaşık 3 kez) belgeleyerek, gözlem becerilerinizi geliştirir ve ateşi idare etme konusunda daha fazla güven kazanırsınız. </p> <p> FeverApp ateşle ilgili en önemli konularda size rehberlik edebilir. </p>",يود تطبيق FeverApp أن يمنحك أنت وطفلك أكثر أيام المرض راحة وخالية من الإجهاد. يمكن أن يضعف الإجهاد عمليات التعافي. من ناحية أخرى ، يمكن لبضع دقائق فقط من انتباهك المحب أن يصنع العجائب عدة مرات في اليوم. من خلال توثيق الأسئلة التالية بانتظام (ويفضل أكثر من 3 مرات في اليوم) ، سوف تدرب قدراتك على الملاحظة وتكتسب الثقة في التعامل مع الحمى.يرشدك تطبيق FeverApp خلال أهم الأسئلة حول الحمى.,"<p>La FeverApp vise à rendre les journées de maladie pour vous et votre enfant aussi détendues que possible et sans stress. Le stress peut nuire au processus de guérison. En revanche, quelques minutes de votre attention affectueuse plusieurs fois par jour, peuvent faire des merveilles.</p><p>En documentant les questions suivantes régulièrement (de préférence plus de 3 fois par jour), vous entraînerez votre pouvoir d'observation et gagnerez en confiance pour faire face à la fièvre.</p><p>Vous pouvez laisser la FeverApp vous guider à travers les questions les plus importantes lorsque votre enfant a de la fièvre.</p>", FeverApp<p> می خواهد به شما کمک کند تا روزهای بیماری برای شما و فرزندتان تا حد ممکن آرام و بدون استرس باشد. استرس می تواند روند بهبودی را کندتر کند. </p><p>با این حال، فقط چند دقیقه توجه عاشقانه ی شما در طول روز می تواند معجزه بیافریند. از طریق ورود منظم اطلاعات (ایده آل ۳ بار در روز) از طریق پاسخ به سوالات می توانید قابلیت خود در تحت نظر داشتن تب را تقویت کرده و اطمینان خاطر بیشتری در رابطه با کنترل و مقابله با تب پیدا می کنید.  FeverAp<p>می تواند شما را در رابطه با مهمترین مسائل مربوط به تب راهنمایی کند.,"<p>De KoortsApp heeft als doel om ziektedagen zo ontspannen en stressvrij mogelijk te maken voor u en uw kind. Stress kan het herstelproces belemmeren. Aan de andere kant kan een paar minuten van uw liefdevolle aandacht, meerdere keren per dag, wonderen doen.</p><p>Door de volgende vragen regelmatig te documenteren (bij voorkeur meer dan 3 keer per dag), traint u uw observatievermogen en krijgt u meer vertrouwen in het omgaan met koorts.</p><p>U kunt de FeverApp u laten begeleiden door de belangrijkste vragen over koorts. </p>","<p>Aplikacja FeverApp ma na celu uczynienie czasu choroby tak relaksującym i bezstresowym, jak to tylko możliwe dla Ciebie i Twojego dziecka. Stres może zakłócić proces powrotu do zdrowia. Z drugiej strony, zaledwie kilka minut Twojej troskliwej uwagi poświęconej  kilka razy dziennie może zdziałać cuda.</p><p>Dokumentując poniższe pytania regularnie (najlepiej ponad 3 razy dziennie), wyćwiczysz swoje umiejętności obserwacji i zyskasz pewność siebie w radzeniu sobie z gorączką.</p><p>Możesz teraz zezwolić, aby FeverApp przeprowadziła Cię przez najważniejsze pytania, które należy zadać, gdy masz gorączkę.</p>","<p>La FeverApp mira a rendere i giorni di malattia rilassanti e privi di stress per Lei e il Suo bambino. Lo stress può compromettere i processi di recupero. D'altra parte, solo pochi minuti della Sua amorevole attenzione più volte al giorno può fare miracoli.</p><p>Documentando regolarmente le seguenti domande (preferibilmente più di 3 volte al giorno), allenerà i Suoi poteri di osservazione e guadagnerà fiducia nell'affrontare la febbre.</p><p>Può lasciare che la FeverApp La guidi attraverso le domande più importanti da fare quando ha la febbre.</p>","<p>FeverApp quiere ofrecerles a usted ya su hijo los días de enfermedad más relajados y libres de estrés posibles. El estrés puede perjudicar la recuperación. Por otro lado, solo unos minutos de su amorosa atención, varias veces al día, pueden hacer maravillas.</p><p>Al documentar regularmente las siguientes preguntas (preferiblemente más de 3 veces al día), puede entrenar a su poderes de observación y ganar confianza en el manejo de la fiebre.</p><p>Puedes dejar que FeverApp le guíe a través de las preguntas más importantes sobre la fiebre.</p>","<p>FeverApp quiere ofrecerles a usted ya su hijo los días de enfermedad más relajados y libres de estrés posibles. El estrés puede perjudicar la recuperación. Por otro lado, solo unos minutos de su amorosa atención, varias veces al día, pueden hacer maravillas.</p><p>Al documentar regularmente las siguientes preguntas (preferiblemente más de 3 veces al día), puede entrenar a su poderes de observación y ganar confianza en el manejo de la fiebre.</p><p>Puedes dejar que FeverApp te guíe a través de las preguntas más importantes sobre la fiebre.</p>","<p>FeverApp quer oferecer a você e ao seu filho dias de licença médica mais relaxados e sem estresse o quanto possível. O estresse pode prejudicar a recuperação. Por outro lado, apenas alguns minutos de sua atenção amorosa, várias vezes ao dia, podem fazer muito diferença.</p><p>Ao documentar regularmente as seguintes questões (de preferência mais de 3 vezes por dia), você pode treinar sua capacidade de observação e ganhar confiança no controle da febre.</p><p>Você pode deixar o FeverApp guiar você nas perguntas mais importantes sobre a febre.</p>","<p>FeverApp хотів би допомогти зробити дні хвороби для Вас та Вашої дитини якомога спокійнішими та вільними від стресу. Стрес може уповільнювати процеси одужання. Проте, вже кілька хвилин Вашої уваги протягом дня може творити чудеса. </p><p> Через регулярне (найкраще близько 3-х разів на день) документування відповідей на наступні питання, Ви тренуєте свою спостережливість і набуваєте впевненісті у поводженні з гарячкою.</p><p>Ви можете керуватися FeverApp у найважливіших питаннях, пов'язаних з гарячкою.</p>","<p>FeverApp-ს სურს შემოგთავაზოთ თქვენ და თქვენს შვილს სტრესისგან თავისუფალი ავადმყოფობის დღეები რამდენადაც ეს შესაძლებელია. სტრესმა შეიძლება შეაფერხოს გამოჯანმრთელება. მეორეს მხრივ, თქვენმა სითბომ და ყურადღებამ  შეიძლება სასწაული მოახდინოს.</p><p>შემდეგ კითხვებზე რეგულარული პასუხი  ( დღეში 3-ზე მეტჯერ), გაგიუმჯობესებთ დაკვირვების უნარს და მოგცემთ მეტ თავდაჯერებულობას. </p><p> შეგიძლიათ FeverApp-ს მისცეთ უფლება იყოს გზამკვლევი ცხელების დროს.</p>"
DIARY.WELLBEING.WELLBEING_CHILD.LABEL.0,,fühlt sich sehr unwohl,feels very unwell,чувствует себя очень плохо,Kendini çok kötü hissediyor,يشعر بعدم الارتياح جدا,ne se sent vraiment pas bien ,احساس خیلی بدی دارد,voelt erg onwel,czuje się bardzo źle,non si sente proprio bene,se encuentra muy mal,se siente muy mal,É muito ruim,почувається дуже погано,თავს ძალიან ცუდად გრძნობს
DIARY.WELLBEING.WELLBEING_CHILD.LABEL.1,,fühlt sich unwohl,feels unwell,чувствует себя плохо,Kendini kötü hissediyor,يشعر بعدم الارتياح,ne se sent pas bien,احساس بدی دارد,voelt zich onwel,czuje się źle,non si sente a suo agio,se encuentra mal,se siente mal,Se sente mal,почувається погано,თავს ცუდად გრძნობს
DIARY.WELLBEING.WELLBEING_CHILD.LABEL.2,,fühlt sich weder wohl noch unwohl,feels neither well nor unwell,"чувствует себя ни хорошо, ни плохо",Kendini ne kötü ne de iyi hissediyor,يشعر لا جيدا ولا سوء,ne se sent ni bien ni mal,نه خوب است نه بد,Voelt noch comfortabel noch oncomfortabel aan,"nie czuje się ani dobrze, ani źle",si sente nè bene nè male,no se encuentra ni bien ni mal,no se siente ni bien ni mal,não parece bom ou ruim,"почувається ні добре, ні погано",თავს არც კარგად გრძნობს და არც ცუდად
DIARY.WELLBEING.WELLBEING_CHILD.LABEL.3,,fühlt sich wohl,feels fine,чувствует себя хорошо,Kendini iyi hissediyor,اشعر براحة,se sent bien ,احساس خوبی دارد,voelt zich goed,czuje się dobrze,si sente a suo agio,se encuentra bien,se siente bien,sente-se bem,почувається добре,თავს კარგად გრძნობს
DIARY.WELLBEING.WELLBEING_CHILD.LABEL.4,,fühlt sich sehr wohl,feels very well,чувствует себя очень хорошо,Kendini çok iyi hissediyor,يشعر بالراحة جدا,se sent très bien ,احساس خیلی خوبی دارد,voelt zich heel goed,czuje się bardzo dobrze,si sente molto bene,se encuentra muy bien,se siente muy bien,se sente muito bem,почувається дуже добре,თავს ძალიან კარგად გრძნობს
DIARY.WELLBEING.WELLBEING_CHILD.ANALYSIS.TEXT.0.TEXT,,{{name}} fühlt sich sehr unwohl,{{name}} feels very unwell,{{name}} чувствует себя очень плохо,{{name}} kendini çok kötü hissediyor,{{name}} غير مريح للغاية,{{name}} ne se sent vraiment pas bien,{{name}} احساس خیلی بدی دارد,{{name}}voelt zich erg onwel,{{name}} czuje się bardzo źle,{{name}}  non si sente proprio bene,{{name}} se siente muy mal,{{name}} se siente muy mal,{{name}} se sente muito mal,{{name}} почувається дуже погано,{{name}} თავს ძალიან ცუდად გრძნობს
DIARY.WELLBEING.WELLBEING_CHILD.ANALYSIS.TEXT.1.TEXT,,{{name}} fühlt sich unwohl,{{name}} feels unwell,{{name}} чувствует себя плохо,{{name}} kendini kötü hissediyor,{{name}} غير ما يرام,{{name}} ne se sent pas bien ,{{name}} احساس بدی دارد ,{{name}}voelt zich onwel,{{name}} czuje się źle,{{name}}  non si sente a suo agio,{{name}} se siente mal,{{name}} se siente mal,{{name}} se sente mal,{{name}} почувається погано,{{name}} თავს ცუდად გრძნობს
DIARY.WELLBEING.WELLBEING_CHILD.ANALYSIS.TEXT.2.TEXT,,{{name}} fühlt sich weder wohl noch unwohl,{{name}} feels neither well nor unwell,"{{name}} чувствует себя ни хорошо, ни плохо",{{name}} kendini ne kötü ne de iyi hissediyor,{{name}} يشعر لا جيدا ولا سوء,{{name}} ne se sent ni bien ni mal,{{name}} نه خوب است نه بد,{{name}}voelt zich noch comfortabel noch oncomfortabel,"{{name}} nie czuje się ani dobrze, ani źle",{{name}}  si sente nè bene nè male,{{name}} no se siente ni bien ni mal,{{name}} no se siente ni bien ni mal,{{name}} não se sente bem ou mal,"{{name}} почувається ні добре, ні погано",{{name}} თავს არც კარგად გრძნობს და არც ცუდად
DIARY.WELLBEING.WELLBEING_CHILD.ANALYSIS.TEXT.3.TEXT,,{{name}} fühlt sich wohl,{{name}} feels fine,{{name}} чувствует себя хорошо,{{name}} kendini iyi hissediyor,{{name}} يشعر بالراحة,{{name}} se sent bien ,{{name}} احساس خوبی دارد,{{name}}voelt zich goed,{{name}} czuje się bardzo dobrze,{{name}}  si sente a suo agio,{{name}} se siente bien,{{name}} se siente bien,{{name}} se sente bem,{{name}} почувається добре,{{name}} თავს კარგად გრძნობს
DIARY.WELLBEING.WELLBEING_CHILD.ANALYSIS.TEXT.4.TEXT,,{{name}} fühlt sich sehr wohl,{{name}} feels very well,{{name}} чувствует себя очень хорошо,{{name}} kendini çok iyi hissediyor,{{name}} يشعر بالراحة جدا,{{name}} se sent très bien ,{{name}} احساس خیلی خوبی دارد,{{name}} voelt zich erg goed,{{name}} czuje się dobrze,{{name}}  si sente molto bene,{{name}} se siente muy bien,{{name}} se siente muy bien,{{name}} é muito bom,{{name}} почувається дуже добре,{{name}} თავს ძალიან კარგად გრძნობს
