key,de,en,ru,tr,ar,fr,fa,nl,pl,it,uk,ka (georgisch),es,pt
ENTRY.SEARCH.MEDICINE,Medizin suchen,Search medicine,Поисковая медицина,İlaç arama,بحث في الطب,Recherche de médicaments,جستجوی پزشکی,Medicijnen zoeken,Wyszukiwanie leków,Ricerca medicina,Пошук медицини,მოძებნეთ წამალი,Medicina de búsqueda,Medicina de busca
ENTRY.GRANT.PERMISSION,Erlaubnis erteilen,Grant Permission,Разрешение,İzin Verin,منح الإذن,Accorder l'autorisation,اجازه بدهید,Udzielenie zezwolenia,Udzielenie zezwolenia,Concessione del permesso,Надання дозволу,გრანტის ნებართვა,Conceder permiso,Conceder permissão
ENTRY.CAMERA.PERMISSION,Zum Scannen des Barcodes ist eine Kameraerlaubnis erforderlich.,Camera permission is required to scan the barcode.,Для сканирования штрих-кода требуется разрешение камеры,Barkodu taramak için kamera izni gereklidir,مطلوب إذن الكاميرا لمسح الرمز الشريطي .barcode,L'autorisation de l'appareil photo est nécessaire pour scanner le code-barres.,برای اسکن بارکد. اجازه دوربین لازم است,Camera-toestemming is vereist om de .barcode te scannen,Do zeskanowania .barcode wymagane jest zezwolenie kamery,Per la scansione del codice a barre è necessaria l'autorizzazione della fotocamera.,Для сканування штрих -коду потрібен дозвіл на камеру.,კამერის ნებართვა საჭიროა შტრიხ -კოდის სკანირებისთვის.,Se requiere permiso de la cámara para escanear el código de barras.,É necessária permissão da câmera para digitalizar o código de barras.
USER.PROFILE.ENTRIES,Einträge,Entries,Записи,Girişler,المدخلات,Entrées,ورودی های,Inzendingen,Wpisy,Entrate,Записи,ჩანაწერი,Entradas,Entradas
USER.PROFILE.FEVER.PHASES,Fieberphasen,Fever phases,Фазы лихорадки,Ateş evreleri,مراحل الحمى,Phases de la fièvre,مراحل تب,Koorts fasen,Fazy gorączki,Fasi della febbre,Фази лихоманки,ცხელების ფაზები,Fases de la fiebre,Fases de febre
USER.PROFILE.USERS,Benutzer,Users,Пользователи,Kullanıcılar,المستخدمون,Utilisateurs,کاربران,Gebruikers,Użytkownicy,Utenti,Користувачі,მომხმარებლები,usuarios,usuários
USER.PROFILE.DRUGS.LIST,Medikamentenliste,Drugs list,Список лекарств,İlaç listesi,قائمة الأدوية,Liste des médicaments,لیست داروها,Lijst met geneesmiddelen,Lista leków,Elenco dei farmaci,Список наркотиків,წამლების სია,Lista de drogas,Lista de drogas
USER.PROFILE.PERSONAL.INFO,Persönliche Informationen,Personal info,Личная информация,Kişisel bilgi,معلومات شخصية,Informations personnelles,اطلاعات شخصی,Persoonlijke info,Informacje osobiste,Informazioni personali,Особиста інформація,Პირადი ინფორმაცია,"""información personal",Informação pessoal
USER.PROFILE.CONTACT.INFO,Kontaktinformationen,Contact info,Контактная информация,Contact info,معلومات الاتصال,Contact info,اطلاعات تماس,Contactgegevens,Informacje kontaktowe,Informazioni di contatto,Контактна інформація,Საკონტაქტო ინფორმაცია,Datos de contacto,Informações de contato
USER.PROFILE.DELETE.PROFILE,Profil löschen,Delete profile,Удалить профиль,Profil silme,حذف الملف الشخصي,Supprimer le profil,حذف نمایه,Profiel verwijderen,Usuń profil,Cancellare il profilo,Видалити профіль,წაშალეთ პროფილი,Borrar perfil,Excluir perfil
USER.PROFILE.EDIT,Bearbeiten,Edit,Edit,DÜZENLE,تحرير,Modifier,ویرایش کنید,Edit,Edit,Edit,Редагувати,რედაქტირება,Editar,Editar
USER.PROFILE.YEAR.OF.BIRTH,Geburtsjahr,year of birth,год рождения,doğum yılı,سنة الميلاد,année de naissance,سال تولد,geboortejaar,rok urodzenia,anno di nascita,рік народження,დაბადების წელი,año de nacimiento,ano de nascimento
USER.PROFILE.EDUCATIONLEVEL,Bildungsniveau,Education level,Уровень образования,Eğitim seviyesi,المستوى التعليمي,Niveau d'éducation,سطح تحصیلات,Opleidingsniveau,Poziom wykształcenia,Livello di istruzione,Рівень освіти,Განათლების დონე,Nivel de Educación,Nível de educação
USER.PROFILE.NATIONALITY,Nationalität,Nationality,Национальность,Uyruk,الجنسية,Nationalité,ملیت,Nationaliteit,Narodowość,Nazionalità,Національність,ეროვნება,Nacionalidad,Nacionalidade
USER.PROFILE.COUNTRY,Land,Country,Страна,Ülke,البلد,Pays,کشور,Land,Kraj,Paese,Країна,ქვეყანა,País,País
USER.PROFILE.CITY,Stadt,City,Город,Şehir,المدينة,Ville,شهر,Stad,Miasto,Città,Місто,ქალაქი,Ciudad,Cidade
USER.PROFILE.ADDRESS,Adresse,Address,Адрес,Adres,العنوان,Adresse,نشانی,Adres,Adres,Indirizzo,Адреса,მიმართვა,DIRECCIÓN,Endereço
USER.PROFILE.NONE,Keine,None,Нет,Hiçbiri,لا يوجد,Aucun,هیچ یک,Geen,Brak,Nessuno,Жодного,არცერთი,Ninguno,Nenhum
USER.PROFILE.FUNCTIONS,Möchten Sie mehr über die wichtigsten Funktionen der App erfahren?,Would you like to learn more about the most important functions of the app?,Хотите узнать больше о самых важных функциях приложения?,Uygulamanın en önemli işlevleri hakkında daha fazla bilgi edinmek ister misiniz?,هل ترغب في معرفة المزيد عن أهم وظائف التطبيق؟,Voulez-vous en savoir plus sur les principales fonctionnalités de l'application ?,آیا می خواهید در مورد مهمترین عملکردهای برنامه بیشتر بدانید؟,Wil je meer weten over de belangrijkste functies van de app?,Chcesz dowiedzieć się więcej o najważniejszych funkcjach aplikacji?,Volete saperne di più sulle funzioni più importanti dell'app?,Чи хотіли б ви дізнатися більше про найважливіші функції програми?,გსურთ გაიგოთ მეტი პროგრამის ყველაზე მნიშვნელოვან ფუნქციებზე?,¿Le gustaría aprender más sobre las funciones más importantes de la aplicación?,Você gostaria de aprender mais sobre as funções mais importantes do aplicativo?
USER.PROFILE.START,Start,Start,Начало,Başlangıç,ابدأ,Démarrage,شروع کنید,Start,Start,Inizio,Почати,დასაწყისი,Comenzar,Começar
USER.PROFILE,Gebruikersprofiel,User Profile,Профиль пользователя,Kullanıcı Profili,ملف تعريف المستخدم,Profil d'utilisateur,مشخصات کاربر,Gebruikersprofiel,Profil użytkownika,Profilo utente,Профіль користувача,Მომხმარებლის პროფილი,Perfil del usuario,Perfil de usuário
ENTRY.BOTTOMSHEET.INFO,Eintragsinformationen,Entry info,Информация о записи,Giriş bilgis,معلومات الإدخال,Informations sur l'entrée,اطلاعات ورودی,Invoerinformatie,Informacje o wpisie,Informazioni di inserimento,Інформація про введення,შესვლის ინფორმაცია,Información de entrada,Informações de entrada
ENTRY.BOTTOMSHEET.SUMMARY,Eintragszusammenfassung,Entry summary,Краткое описание записи,Giriş özeti,ملخص الإدخال,Résumé de l'entrée,خلاصه ورودی,Invoersamenvatting,Podsumowanie wpisu,Sommario dell'inserimento,Підсумок вступу,შესვლის რეზიუმე,Resumen de entrada,Resumo da entrada
ENTRY.BOTTOMSHEET.EDIT,Eintrag bearbeiten,Edit entry,Редактировать запись,Girişi düzenle,تحرير الإدخال,Modifier l'entrée,ویرایش ورودی,Invoer bewerken,Edytuj wpis,Modifica inserimento,Редагувати запис,ჩანაწერის რედაქტირება,Editar entrada,Editar entrada
ENTRY.BOTTOMSHEET.DELETE,Zusammenfassung löschen,Delete summary,Удалить сводку,Özeti sil,حذف الملخص,Supprimer le résumé,حذف خلاصه,Samenvatting verwijderen,Usuń podsumowanie,Elimina sommario,Видалити резюме,წაშალეთ რეზიუმე,Eliminar resumen,Excluir resumo
TOUR.STEP.1,Schritt 1 von 5,Step 1 of 5,Шаг 1 из 5,Adım 1 / 5,الخطوة 1 من 5,Étape 1 sur 5,مرحله 1 از 5,Stap 1 van 5,Krok 1 z 5,Passaggio 1 di 5,Крок 1 з 5,ნაბიჯი 1 -დან 1,Paso 1 de 5,Etapa 1 de 5
TOUR.STEP.2,Schritt 2 von 5,Step 2 of 5,Шаг 2 из 5,Adım 2 / 5,الخطوة 2 من 5,Étape 2 sur 5,مرحله 2 از 5,Stap 2 van 5,Krok 2 z 5,Passaggio 2 di 5,Крок 2 із 5,ნაბიჯი 2 -დან 2 -დან,Paso 2 de 5,Etapa 2 de 5
TOUR.STEP.3,Schritt 3 von 5,Step 3 of 5,Шаг 3 из 5,Adım 3 / 5,الخطوة 3 من 5,Étape 3 sur 5,مرحله 3 از 5,Stap 3 van 5,Krok 3 z 5,Passaggio 3 di 5,Крок 3 з 5,ნაბიჯი 3 -დან 3,Paso 3 de 5,Etapa 3 de 5
TOUR.STEP.4,Schritt 4 von 5,Step 4 of 5,Шаг 4 из 5,Adım 4 / 5,الخطوة 4 من 5,Étape 4 sur 5,مرحله 4 از 5,Stap 4 van 5,Krok 4 z 5,Passaggio 4 di 5,Крок 4 з 5,ნაბიჯი 4 -დან 4,Paso 4 de 5,Etapa 4 de 5
TOUR.STEP.5,Schritt 5 von 5,Step 5 of 5,Шаг 5 из 5,Adım 5 / 5,الخطوة 5 من 5,Étape 5 sur 5,مرحله 5 از 5,Stap 5 van 5,Krok 5 z 5,Passaggio 5 di 5,Крок 5 з 5,ნაბიჯი 5 -დან 5,Paso 5 de 5,Etapa 5 de 5
CHILD.RECOVERED,{{name}} hat sich erholt,{{name}} has recovered,{{name}} выздоровел(а),{{name}} iyileşti,{{name}} تعافى,{{name}} s'est rétabli(e),{{name}} بهبود یافت,{{name}} is hersteld,{{name}} wyzdrowiał(a),{{name}} si è ripreso(a),{{name}} одужав,{{name}} გამოჯანმრთელდა,{{name}} se ha recuperado,{{name}} se recuperou
PROFILE.FEVERSEIZURE,Hat {{name}} jemals einen Fieberkrampf gehabt?,Has {{name}} ever had a fever seizure?,{{name}} когда-либо испытывал судороги при высокой температуре?,{{name}}'in ateş nöbeti geçirme durumu oldu mu hiç?,هل سبق لـ {{name}} أن تعرّض لنوبة حمى؟,{{name}} a-t-il déjà eu une convulsion fébrile ?,آیا {{name}} تا به حال تشنج تب داشته است؟,Heeft {{name}} ooit een koortsstuip gehad?,Czy {{name}} kiedykolwiek miał drgawki gorączkowe?,{{name}} ha mai avuto una convulsione febbrile?,У {{name}} коли -небудь був напад лихоманки?,თუ ოდესმე ჰქონია {{name}} სიცხით გამოწვეული შეტევა?,¿Ha tenido {{name}} alguna vez una convulsión de fiebre?,O {{name}} já teve uma convulsão de febre?
NO_FEVER_PHASE,"Keine Fieberphase","No fever phase","Нет фазы лихорадки","Ateş evresi yok","لا توجد مرحلة حمى","Pas de phase de fièvre","بدون مرحله تب","Geen koorts fase","Brak fazy gorączki","Nessuna fase di febbre","Немає фази лихоманки","ცხელების ფაზა არ არის","No hay fase de fiebre","Sem fase de febre"
PROFILE.SICK,Krank,Sick,Больной,Hasta,مريض,Malade,بیمار,Ziek,Chory,Malato,Хворий,ავადმყოფი,Enfermo,Doente
PROFILE.HEALTHY,Gesund,Healthy,Здоровый,Sağlıklı,صحي,En bonne santé,سالم,Gezond,Zdrowy,Sano,Здоровий,ჯანმრთელი,Sano,Saudável
PROFILE.ADD_ENTRY,Eintrag hinzufügen,Add Entry,Добавить запись,Giriş Ekle,إضافة مدخل,Ajouter une entrée,افزودن ورودی,Invoer toevoegen,Dodaj wpis,Aggiungi voce,Додати запис,ჩაწერის დამატება,Añadir entrada,Adicionar entrada
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.1.LABEL,Act-Hib,Act-Hib,Act-Hib,Act-Hib,Act-Hib,Act-Hib,Act-Hib,Act-Hib,Act-Hib,Act-Hib,Act-Hib,Ato-Hib,Act-Hib,Act-Hib
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.89.LABEL,Apexxnar,Apexxnar,Apexxnar,Apexxnar,Apexxnar,Apexxnar,Apexxnar,Apexxnar,Apexxnar,Apexxnar,Apexxnar,Apexxnar,Apexxnar,Apexxnar
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.87.LABEL,Bexsero,Bexsero,Bexsero,Bexsero,Bexsero,Bexsero,Bexsero,Bexsero,Bexsero,Bexsero,Bexsero,Bexsero,Bexsero,Bexsero
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.88.LABEL,Beyfortus,Beyfortus,Beyfortus,Beyfortus,Beyfortus,Beyfortus,Beyfortus,Beyfortus,Beyfortus,Beyfortus,Beyfortus,Beyfortus,Beyfortus,Beyfortus
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.2.LABEL,Boostrix,Boostrix,Boostrix,Boostrix,Boostrix,Boostrix,Boostrix,Boostrix,Boostrix,Boostrix,Boostrix,Boosttrix,Boostrix,Boostrix
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.3.LABEL,Boostrix Polio,Boostrix Polio,Boostrix Polio,Boostrix Polio,Boostrix Polio,Boostrix Polio,Boostrix Polio,Boostrix Polio,Boostrix Polio,Boostrix Polio,Boostrix Polio,Boostrix Polio,Boostrix Polio,Boostrix Polio
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.4.LABEL,Cervavix,Cervavix,Cervavix,Cervavix,Cervavix,Cervavix,Cervavix,Cervavix,Cervavix,Cervavix,Cervavix,Cervarix,Cervavix,Cervavix
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.81.LABEL,COVID-19 - Vaccine (irgendeines),COVID-19 - Vaccine (anyone),COVID-19 - Vaccine (любая),COVID-19 - Aşı (herkes),التطعيم ضد كورونا (أي),COVID-19 - Vaccins (tout),واکسیناسیون کرونا (هرگونه),COVID-19 - Vaccin (alle),COVID-19 - Szczepionka (dowolna),vaccino COVID-19 (qualunque),COVID-19 - Vaccine (будь-яка),COVID-19 - ვაქცინა (ნებისმიერი),COVID-19 - Vacuna (cualquiera),COVID-19 - Vacina (qualquer)
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.82.LABEL,COVID-19 - Vaxzevria (Astra Zeneca),COVID-19 - Vaxzevria (Astra Zeneca),COVID-19 - Vaxzevria (Astra Zeneca),COVID-19 - Vaxzevria (Astra Zeneca),COVID-19 - Vaxzevria (Astra Zeneca),COVID-19 - Vaxzevria (Astra Zeneca),COVID-19 - Vaxzevria (Astra Zeneca),COVID-19 - Vaxzevria (Astra Zeneca),COVID-19 - Vaxzevria (Astra Zeneca),COVID-19 - Vaxzevria (Astra Zeneca),COVID-19 - Vaxzevria (Astra Zeneca),COVID-19 - Vaxzevria (Astra Zeneca),COVID-19 - Vaxzevria (Astra Zeneca),COVID-19 - Vaxzevria (Astra Zeneca)
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.83.LABEL,COVID-19 - Comirnaty (BioNTech),COVID-19 - Comirnaty (BioNTech),COVID-19 - Comirnaty (BioNTech),COVID-19 - Comirnaty (BioNTech),COVID-19 - Comirnaty (BioNTech),COVID-19 - Comirnaty (BioNTech),COVID-19 - Comirnaty (BioNTech),COVID-19 - Comirnaty (BioNTech),COVID-19 - Comirnaty (BioNTech),COVID-19 - Comirnaty (BioNTech),COVID-19 - Comirnaty (BioNTech),COVID-19 - Comirnaty (BioNTech),COVID-19 - Comirnaty (BioNTech),COVID-19 - Comirnaty (BioNTech)
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.84.LABEL,COVID-19 - Spikevax (Moderna),COVID-19 - Spikevax (Moderna),COVID-19 - Spikevax (Moderna),COVID-19 - Spikevax (Moderna),COVID-19 - Spikevax (Moderna),COVID-19 - Spikevax (Moderna),COVID-19 - Spikevax (Moderna),COVID-19 - Spikevax (Moderna),COVID-19 - Spikevax (Moderna),COVID-19 - Spikevax (Moderna),COVID-19 - Spikevax (Moderna),COVID-19 - Spikevax (Moderna),COVID-19 - Spikevax (Moderna),COVID-19 - Spikevax (Moderna)
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.85.LABEL,COVID-19 - Vaccine (Janssen),COVID-19 - Vaccine (Janssen),COVID-19 - Vaccine (Janssen),COVID-19 - Vaccine (Janssen),COVID-19 - Vaccine (Janssen),COVID-19 - Vaccine (Janssen),COVID-19 - Vaccine (Janssen),COVID-19 - Vaccine (Janssen),COVID-19 - szczepionka (Janssen),COVID-19 - Vaccine (Janssen),COVID-19 - Vaccine (Janssen),COVID-19 - Vaccine (Janssen),COVID-19 - Vaccine (Janssen),COVID-19 - Vaccine (Janssen)
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.86.LABEL,COVID-19 - Sputnik V (Biocad),COVID-19 - Sputnik V (Biocad),COVID-19 - Sputnik V (Biocad),COVID-19 - Sputnik V (Biocad),COVID-19 - Sputnik V (Biocad),COVID-19 - Sputnik V (Biocad),COVID-19 - Sputnik V (Biocad),COVID-19 - Sputnik V (Biocad),COVID-19 - Sputnik V (Biocad),COVID-19 - Sputnik V (Biocad),COVID-19 - Sputnik V (Biocad),COVID-19 - Sputnik V (Biocad),COVID-19 - Sputnik V (Biocad),COVID-19 - Sputnik V (Biocad)
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.5.LABEL,Covaxis,Covaxis,Covaxis,Covaxis,Covaxis,Covaxis,Covaxis,Covaxis,Covaxis,Covaxis,Covaxis,Covaxis,Covaxis,Covaxis
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.6.LABEL,Dipheterie NF,Dipheterie NF,Dipheterie NF,Dipheterie NF,Dipheterie NF,Dipheterie NF,Dipheterie NF,Dipheterie NF,Dipheterie NF,Dipheterie NF,Dipheterie NF,Dipheterie NF,Dipheterie NF,Dipheterie NF
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.7.LABEL,Dukoral,Dukoral,Dukoral,Dukoral,Dukoral,Dukoral,Dukoral,Dukoral,Dukoral,Dukoral,Dukoral,Dukoral,Dukoral,Dukoral
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.8.LABEL,Encepur Erwachsene,Encepur adults,Encepur Erwachsene,Encepur Yetişkin,Encepur راشدون,Encepur adultes,Encepur بزرگسالان,Encepur volwassenen,Encepur Erwachsene,Encepur adulti,Encepur Erwachsene,Encepur Erwachsene,Encepur Erwachsene,Encepur Erwachsene
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.9.LABEL,Encepur Kinder,Encepur children,Encepur Kinder,Encepur Çocuk,Encepur أطفال,Encepur enfants,Encepur کودکان,Encepur kinderen,Encepur Kinder,Encepur bambini,Encepur Kinder,Encepur Kinder,Encepur Kinder,Encepur Kinder
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.10.LABEL,Engerix-B Erwachsene,Engerix B adults,Engerix-B Erwachsene,Engerix-B Yetişkin,Engerix-B راشدون,Engerix-B adultes,Engerix-B بزرگسالان,Engerix-B volwassenen,Engerix-B Erwachsene,Engerix-B adulti,Engerix-B Erwachsene,Engerix-B Erwachsene,Engerix-B Erwachsene,Engerix-B Erwachsene
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.11.LABEL,Engerix-B Kinder,Engerix B children,Engerix-B Kinder,Engerix-B Çocuk,Engerix-B أطفال,Engerix-B enfants,Engerix-B کودکان,Engerix-B kinderen,Engerix-B Kinder,Engerix-B bambini,Engerix-B Kinder,Engerix-B Kinder,Engerix-B Kinder,Engerix-B Kinder
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.12.LABEL,Fluad,Fluad,Fluad,Fluad,Fluad,Fluad,Fluad,Fluad,Fluad,Fluad,Fluad,Fluad,Fluad,Fluad
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.13.LABEL,FSME-Immun Erwachsene,FSME-Immun Adult,FSME-Immun Erwachsene,FSME-Immun Yetişkin,FSME-Immun راشدون,FSME-Immun adultes,FSME-Immun بزرگسالان,FSME-Immun volwassenen,FSME-Immun Erwachsene,FSME-Immun adulti,FSME-Immun Erwachsene,FSME-Immun Erwachsene,FSME-Immun Erwachsene,FSME-Immun Erwachsene
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.14.LABEL,FSME-IMMUN Junior,FSME-IMMUN Junior,FSME-IMMUN Junior,FSME-IMMUN Junior,FSME-IMMUN أطفال,FSME-IMMUN Junior,FSME-IMMUN Junior,FSME-IMMUN Junior,FSME-IMMUN Junior,FSME-IMMUN Junior,FSME-IMMUN Junior,FSME-IMMUN Junior,FSME-IMMUN Junior,FSME-IMMUN Junior
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.15.LABEL,Gardasil,Gardasil,Gardasil,Gardasil,Gardasil,Gardasil,Gardasil,Gardasil,Gardasil,Gardasil,Gardasil,Gardasil,Gardasil,Gardasil
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.80.LABEL,Grippeimpfung,Flu Vaccination,Вакцинация против гриппа,Grip Aşısı,لقاح الإنفلونزا,Vaccination contre la grippe,واکسیناسیون آنفولانزا,Griepvaccinatie,Grippeimpfung,vaccino per l'influenza,Grippeimpfung,Grippeimpfung,Grippeimpfung,Grippeimpfung
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.16.LABEL,HAVpur,HAVpur,HAVpur,HAVpur,HAVpur,HAVpur,HAVpur,HAVpur,HAVpur,HAVpur,HAVpur,HAVpur,HAVpur,HAVpur
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.17.LABEL,Havrix 1440 Erwachsene,Havrix 1440 adults,Havrix 1440 Erwachsene,Havrix 1440 Yetişkin,Havrix 1440 راشدون,Havrix 1440 adultes,Havrix 1440 بزرگسالان,Havrix 1440 volwassenen,Havrix 1440 Erwachsene,Havrix 1440 adulti,Havrix 1440 Erwachsene,Havrix 1440 Erwachsene,Havrix 1440 Erwachsene,Havrix 1440 Erwachsene
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.18.LABEL,Havrix 730 Kinder,Havrix 730 children,Havrix 730 Kinder,Havrix 730 Çocuk,Havrix 730 أطفال,Havrix 1440 enfants,Havrix 730 کودکان,Havrix 730 kinderen,Havrix 730 Kinder,Havrix 730 bambini,Havrix 730 Kinder,Havrix 730 Kinder,Havrix 730 Kinder,Havrix 730 Kinder
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.19.LABEL,HBVAXPRO,HBVAXPRO,HBVAXPRO,HBVAXPRO,HBVAXPRO,HBVAXPRO,HBVAXPRO,HBVAXPRO,HBVAXPRO,HBVAXPRO,HBVAXPRO,HBVAXPRO,HBVAXPRO,HBVAXPRO
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.20.LABEL,Hexacima,Hexacima,Hexacima,Hexacima,Hexacima,Hexacima,Hexacima,Hexacima,Hexacima,Hexacima,Hexacima,Hexacima,Hexacima,Hexacima
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.21.LABEL,Hexyon,Hexyon,Hexyon,Hexyon,Hexyon,Hexyon,Hexyon,Hexyon,Hexyon,Hexyon,Hexyon,Hexyon,Hexyon,Hexyon
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.22.LABEL,Imovax Polio,Imovax Polio,Imovax Polio,Imovax Polio,Imovax Polio,Imovax Polio,Imovax Polio,Imovax Polio,Imovax Polio,Imovax Polio,Imovax Polio,Imovax Polio,Imovax Polio,Imovax Polio
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.23.LABEL,IMOVAX POLIO,IMOVAX POLIO,IMOVAX POLIO,IMOVAX POLIO,IMOVAX POLIO,IMOVAX POLIO,IMOVAX POLIO,IMOVAX POLIO,IMOVAX POLIO,IMOVAX POLIO,IMOVAX POLIO,IMOVAX POLIO,IMOVAX POLIO,IMOVAX POLIO
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.24.LABEL,Infanrix,Infanrix,Infanrix,Infanrix,Infanrix,Infanrix,Infanrix,Infanrix,Infanrix,Infanrix,Infanrix,Infanrix,Infanrix,Infanrix
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.25.LABEL,Infanrix hexa,Infanrix hexa,Infanrix hexa,Infanrix hexa,Infanrix hexa,Infanrix hexa,Infanrix hexa,Infanrix hexa,Infanrix hexa,Infanrix hexa,Infanrix hexa,Infanrix hexa,Infanrix hexa,Infanrix hexa
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.26.LABEL,Infanrix-IPV + Hib,Infanrix-IPV + Hib,Infanrix-IPV + Hib,Infanrix-IPV + Hib,Infanrix-IPV + Hib,Infanrix-IPV + Hib,Infanrix-IPV + Hib,Infanrix-IPV + Hib,Infanrix-IPV + Hib,Infanrix-IPV + Hib,Infanrix-IPV + Hib,Infanrix-IPV + Hib,Infanrix-IPV + Hib,Infanrix-IPV + Hib
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.27.LABEL,Influspit Tetra,Influspit Tetra,Influspit Tetra,Influspit Tetra,Influspit Tetra,Influspit Tetra,Influspit Tetra,Influspit Tetra,Influspit Tetra,Influspit Tetra,Influspit Tetra,Influspit Tetra,Influspit Tetra,Influspit Tetra
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.28.LABEL,IPV Mérieux,IPV Mérieux,IPV Mérieux,IPV Mérieux,IPV Mérieux,IPV Mérieux,IPV Mérieux,IPV Mérieux,IPV Mérieux,IPV Mérieux,IPV Mérieux,IPV Mérieux,IPV Mérieux,IPV Mérieux
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.29.LABEL,IXIARO,IXIARO,IXIARO,IXIARO,IXIARO,IXIARO,IXIARO,IXIARO,IXIARO,IXIARO,IXIARO,IXIARO,IXIARO,IXIARO
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.30.LABEL,Masern Mérieux,Masern Mérieux,Masern Mérieux,Masern Mérieux,Masern Mérieux,Masern Mérieux,Masern Mérieux,Masern Mérieux,Masern Mérieux,Masern Mérieux,Masern Mérieux,Masern Mérieux,Masern Mérieux,Masern Mérieux
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.31.LABEL,Meningitec,Meningitec,Meningitec,Meningitec,Meningitec,Meningitec,Meningitec,Meningitec,Meningitec,Meningitec,Meningitec,Meningitec,Meningitec,Meningitec
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.32.LABEL,Menjugate,Menjugate,Menjugate,Menjugate,Menjugate,Menjugate,Menjugate,Menjugate,Menjugate,Menjugate,Menjugate,Menjugate,Menjugate,Menjugate
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.91.LABEL,MenQuadfi,MenQuadfi,MenQuadfi,MenQuadfi,MenQuadfi,MenQuadfi,MenQuadfi,MenQuadfi,MenQuadfi,MenQuadfi,MenQuadfi,MenQuadfi,MenQuadfi,MenQuadfi
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.33.LABEL,Menveo,Menveo,Menveo,Menveo,Menveo,Menveo,Menveo,Menveo,Menveo,Menveo,Menveo,Menveo,Menveo,Menveo
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.34.LABEL,MMR-VaxPro,MMR-VaxPro,MMR-VaxPro,MMR-VaxPro,MMR-VaxPro,MMR-VaxPro,MMR-VaxPro,MMR-VaxPro,MMR-VaxPro,MMR-VaxPro,MMR-VaxPro,MMR-VaxPro,MMR-VaxPro,MMR-VaxPro
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.35.LABEL,NeisVacC,NeisVacC,NeisVacC,NeisVacC,NeisVacC,NeisVacC,NeisVacC,NeisVacC,NeisVacC,NeisVacC,NeisVacC,NeisVacC,NeisVacC,NeisVacC
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.36.LABEL,Nimenrix,Nimenrix,Nimenrix,Nimenrix,Nimenrix,Nimenrix,Nimenrix,Nimenrix,Nimenrix,Nimenrix,Nimenrix,Nimenrix,Nimenrix,Nimenrix
DIARY.TEMPERATURE.INJECTION_VACCINE.OPTION.37.LABEL,Pentavac,Pentavac,Pentavac,Pentavac,Pentavac,Pentavac,Pentavac,Pentavac,Pentavac,Pentavac,Pentavac,Pentavac,Pentavac,Pentavac
